feature,importance,target,model
FS2_mean,0.0567903133828099,accumulator_pressure,peecom
TS1_mean,0.0391745713116084,accumulator_pressure,peecom
TS3_mean,0.0333857359795005,accumulator_pressure,peecom
PS5_mean,0.0318344594709195,accumulator_pressure,peecom
TS2_mean,0.0307367566862071,accumulator_pressure,peecom
TS4_mean,0.0301444932769549,accumulator_pressure,peecom
PS6_mean,0.0297516000441665,accumulator_pressure,peecom
PS3_std,0.027869452693514,accumulator_pressure,peecom
PS6_max,0.0241496275412468,accumulator_pressure,peecom
EPS1_mean,0.0226031885357377,accumulator_pressure,peecom
PS5_max,0.0215649033648474,accumulator_pressure,peecom
PS6_min,0.0213888645176076,accumulator_pressure,peecom
SE_mean,0.0211166321610521,accumulator_pressure,peecom
PS5_min,0.01933787907009,accumulator_pressure,peecom
PS4_mean,0.0163542354509968,accumulator_pressure,peecom
PS1_mean,0.0149177009303864,accumulator_pressure,peecom
VS1_mean,0.0147788755884604,accumulator_pressure,peecom
CE_mean,0.014588163348098,accumulator_pressure,peecom
FS1_std,0.0122123018237376,accumulator_pressure,peecom
PS3_mean,0.0113600154520002,accumulator_pressure,peecom
PS4_min,0.0109666620346118,accumulator_pressure,peecom
PS3_max,0.0099538023863531,accumulator_pressure,peecom
CP_mean,0.0093299141403286,accumulator_pressure,peecom
FS1_mean,0.0093284416447387,accumulator_pressure,peecom
SE_std,0.0087988588331601,accumulator_pressure,peecom
PS4_std,0.0083564476743472,accumulator_pressure,peecom
PS1_max,0.0074608549966108,accumulator_pressure,peecom
PS1_min,0.0072204756705141,accumulator_pressure,peecom
TS1_std,0.0069060578782849,accumulator_pressure,peecom
PS2_std,0.006869160928291,accumulator_pressure,peecom
PS4_max,0.0054928258702127,accumulator_pressure,peecom
VS1_std,0.0044804203328236,accumulator_pressure,peecom
PS1_std,0.0044746240855399,accumulator_pressure,peecom
PS6_std,0.0044055121926946,accumulator_pressure,peecom
FS2_std,0.0042980587220911,accumulator_pressure,peecom
EPS1_std,0.0031444797535045,accumulator_pressure,peecom
PS5_std,0.0027425555571443,accumulator_pressure,peecom
TS2_std,0.002643707438284,accumulator_pressure,peecom
PS2_mean,0.0026116980488799,accumulator_pressure,peecom
TS3_std,0.0016842018028973,accumulator_pressure,peecom
PS2_max,0.0015122110541967,accumulator_pressure,peecom
TS4_std,0.0010457713823441,accumulator_pressure,peecom
CP_std,0.0008345150025809,accumulator_pressure,peecom
CE_std,0.0005247399329998,accumulator_pressure,peecom
PS3_min,0.0,accumulator_pressure,peecom
PS2_min,0.0,accumulator_pressure,peecom
FS2_mean,0.0891087257144926,accumulator_pressure,random_forest
TS4_mean,0.0603729969827377,accumulator_pressure,random_forest
TS1_mean,0.0510901845783774,accumulator_pressure,random_forest
TS2_mean,0.0482149648811073,accumulator_pressure,random_forest
TS3_mean,0.0459202172245382,accumulator_pressure,random_forest
EPS1_mean,0.0435902072615602,accumulator_pressure,random_forest
SE_mean,0.0430206641044194,accumulator_pressure,random_forest
PS5_mean,0.0397637122310063,accumulator_pressure,random_forest
PS3_std,0.0393750035393302,accumulator_pressure,random_forest
PS6_mean,0.0375246574787783,accumulator_pressure,random_forest
PS5_max,0.0327939671299215,accumulator_pressure,random_forest
PS6_max,0.0327564345120044,accumulator_pressure,random_forest
PS5_min,0.0311958576177247,accumulator_pressure,random_forest
PS6_min,0.0254038185021375,accumulator_pressure,random_forest
VS1_mean,0.0250319082274153,accumulator_pressure,random_forest
PS1_mean,0.0231642824496472,accumulator_pressure,random_forest
PS4_mean,0.0230791898661744,accumulator_pressure,random_forest
PS3_max,0.0229812747849915,accumulator_pressure,random_forest
CE_mean,0.0229635025883419,accumulator_pressure,random_forest
PS2_mean,0.0207918791102262,accumulator_pressure,random_forest
FS1_std,0.019180091673345,accumulator_pressure,random_forest
PS3_mean,0.0170217351002651,accumulator_pressure,random_forest
PS1_max,0.0165690205080365,accumulator_pressure,random_forest
FS1_mean,0.0161268364610329,accumulator_pressure,random_forest
CP_mean,0.0157436070733907,accumulator_pressure,random_forest
PS1_min,0.0150237103419436,accumulator_pressure,random_forest
PS4_min,0.0142223015879417,accumulator_pressure,random_forest
PS1_std,0.0136116601798819,accumulator_pressure,random_forest
SE_std,0.0134036433488934,accumulator_pressure,random_forest
PS4_std,0.0131706800630522,accumulator_pressure,random_forest
TS1_std,0.0114283905291061,accumulator_pressure,random_forest
FS2_std,0.0095558172138886,accumulator_pressure,random_forest
PS4_max,0.0094248125908772,accumulator_pressure,random_forest
PS2_std,0.0094057372285966,accumulator_pressure,random_forest
EPS1_std,0.0087700172090526,accumulator_pressure,random_forest
PS6_std,0.0072009255642945,accumulator_pressure,random_forest
TS2_std,0.0066610986322421,accumulator_pressure,random_forest
PS2_max,0.0063777132004243,accumulator_pressure,random_forest
PS5_std,0.0051958509749554,accumulator_pressure,random_forest
VS1_std,0.0051753922334482,accumulator_pressure,random_forest
TS3_std,0.0036567018483311,accumulator_pressure,random_forest
CP_std,0.0019607217791859,accumulator_pressure,random_forest
CE_std,0.001488710387788,accumulator_pressure,random_forest
TS4_std,0.0014813754850922,accumulator_pressure,random_forest
PS3_min,0.0,accumulator_pressure,random_forest
PS2_min,0.0,accumulator_pressure,random_forest
CP_mean,0.1079222342137884,cooler_condition,peecom
PS6_max,0.0913177196938236,cooler_condition,peecom
CE_mean,0.0794019251284773,cooler_condition,peecom
PS6_mean,0.0787486047325755,cooler_condition,peecom
PS6_min,0.0714531540218529,cooler_condition,peecom
PS5_mean,0.0713312759429867,cooler_condition,peecom
TS4_mean,0.0482450628837866,cooler_condition,peecom
PS5_min,0.043584220948735,cooler_condition,peecom
PS1_min,0.0426366838021773,cooler_condition,peecom
PS5_max,0.0397588672122047,cooler_condition,peecom
TS3_mean,0.0267931090268128,cooler_condition,peecom
EPS1_std,0.0249176259935965,cooler_condition,peecom
TS1_mean,0.0184581357883642,cooler_condition,peecom
TS2_mean,0.0176794301594272,cooler_condition,peecom
PS1_std,0.0156327381967881,cooler_condition,peecom
PS3_max,0.0146888045696602,cooler_condition,peecom
TS2_std,0.011993738351889,cooler_condition,peecom
PS3_mean,0.0103327142112298,cooler_condition,peecom
PS4_mean,0.0086332752939852,cooler_condition,peecom
PS2_mean,0.0051950176680966,cooler_condition,peecom
VS1_mean,0.0051926363587249,cooler_condition,peecom
FS2_mean,0.0051689137330026,cooler_condition,peecom
TS1_std,0.0021705508490069,cooler_condition,peecom
TS4_std,0.001558099826101,cooler_condition,peecom
TS3_std,0.0013183648962744,cooler_condition,peecom
PS2_max,0.0011561966367712,cooler_condition,peecom
PS5_std,0.0009218913399789,cooler_condition,peecom
PS6_std,0.0006834113702212,cooler_condition,peecom
CE_std,0.0003702627815198,cooler_condition,peecom
PS4_max,0.0003422499676368,cooler_condition,peecom
FS2_std,0.0002645043971714,cooler_condition,peecom
SE_std,0.0002165833541869,cooler_condition,peecom
PS1_max,0.0001857746602593,cooler_condition,peecom
PS4_min,0.000156759844145,cooler_condition,peecom
CP_std,0.0001354065331022,cooler_condition,peecom
FS1_mean,0.0001221406408539,cooler_condition,peecom
FS1_std,0.0001181206062272,cooler_condition,peecom
PS2_std,0.0001080603212871,cooler_condition,peecom
PS3_std,0.0001001983815241,cooler_condition,peecom
PS1_mean,8.565219445363067e-05,cooler_condition,peecom
SE_mean,5.088785499841977e-05,cooler_condition,peecom
PS4_std,4.441946102309189e-05,cooler_condition,peecom
VS1_std,1.133807617143248e-05,cooler_condition,peecom
PS2_min,0.0,cooler_condition,peecom
PS3_min,0.0,cooler_condition,peecom
EPS1_mean,0.0,cooler_condition,peecom
CE_mean,0.1286145966554341,cooler_condition,random_forest
CP_mean,0.121570976140284,cooler_condition,random_forest
PS6_max,0.09340013993624,cooler_condition,random_forest
PS5_max,0.0864687920618054,cooler_condition,random_forest
PS6_mean,0.0827343608275594,cooler_condition,random_forest
